LocationDescription,Condition,Visibility,Drifting,Region,RoadwayName,EncodedPolyline,LastUpdated
From Highway 50 to Orangeville,No Report,Good,No,CR - Caledon,9,u}jkGvmmfNl@dEjBpONfA~@pHPvAl@|DZjB\lBHZFXHh@P~@\nBZdBJh@PlATnBVrCVfDR`CTxBJ|@b@rDt@tFf@nDtAnKZjCrAvJZ~BdB`Nz@rGnAhJx@rGF^hApINbAjCfSZlCnCpS@Dd@hDnBdOdCbRx@lGxBfP^zC`ChQ^xC^nChArIfBxMfCfR|ClUz@xGrBnObBvLxCpUvDhYfC~R~DjZtAnK|AbLd@bEP~CPzEN`Cx@|Et@zCt@lB`AvBn@pAf@dA|AhD\l@dAbCz@lCZvA\dBThBLpAHjAP`EJpELpEFnCBf@HjCN~FAHDbAD|AFjBPvDLhCVpD^dD\pCjE|\dAjHlD`V~@zGhCrQr@jEbAzGjB~L|@jGd@fDZfCDXbB|M`CpQVxBv@|Fh@~EvEh^`BvLp@lFdJlr@BRx@dGtAzKrAhKp@|EHf@XpBvAjKnArIl@|Dj@zDd@rDn@|DfD~Ub@xC|BfPdAvHnDzVxBdPrA`KlE`\~@lHj@dEZxBxChT`@vBb@vA~@nCh@fAbA`BtAlBb@h@bAjAhGjHtAfBhGlHpDxDHHWt@q@jB{AtEcC~He@tAwBtEu@zAOFWh@,2025-07-14T14:40:53+00:00
From Morningside (Scarborough) to Highway 400,No Report,Good,No,CR - Kennedy Rd,401,e_ijGfdkbNHtAnMvbBb@lEd@lDL`A?@DNBN?@F^RhA\jBf@dCl@hCl@~Bj@nB|A|EnAhDb@dARl@hD|G\r@^p@^t@xA~CJNXh@HRJRbAzB^~@h@tAf@tAp@tBn@rBx@pC`@xAh@tBnBhIjDdP`@`C?BPbAhBrJpAjHjAdHtClS~@~G@Dt@vFv@rG`AnJdEl_@@NDX|Ipx@NnABTBNdJfv@p@vEdM|{@BNBRfArHzJ`r@tJhq@hAxH@LBNjD`Vh@fDt@jFd@|Df@~EJpANbCB\FnAJfCFjB@v@?X@ZDfC?bD@lO?lA@nC?bK@~B?`GDpHP~PLpEVhLT|JTzH@NLdHB\@V@b@@HBpAFxBB^VpJb@xQ^hQ@h@XpKTdKVnOt@bb@ZzTD~Av@be@X|OFzBDh@F~BVvFVnEn@`If@nFj@nFh@jEnArJvD~YHt@Hj@?DpEj]`@nC|@tEb@pBn@fC|@|CtAdEJR\bAh@tA`@~@nApC|@bB`ChEfJdQ|KhSXf@Td@fDdGBHVb@NZjJvP|HlNr@lA`@l@`@h@X\l@p@fB|AVRp@l@p@h@VTr@h@jA~@`EjD`AjAj@v@fAbB\l@b@z@dAdBhExHnEdIDJlAtBtJnQxNpY`@v@jGjMVf@?@^t@bJ`RvIpQ`@`A^`A\dA`@tAZhAr@pCXrAh@dDpBvO?@bBpM?@Jz@hIhn@n@fF@FdJpr@nCrTZbCdApHjAlHjB~LtGnb@@D@HDPtDfVf@|Cd@~Cf@|Cb@~CVrATrA`@jC^nC\nCnHdt@`AhKLvALlBHvAFvA@l@P|CjA|RnDvo@v@bO@\Dp@H|AF~@,2025-07-14T14:41:01+00:00
From Highway 401 to Woodbine,No Report,Good,No,CR - Gormley,404,anbjGzmfcNC@sBRsBJ}AFcCBkEFs@Bw@Di@Fu@FE@UBMBSBC?MB[Ds@Rc@JWDcBd@iA\w@T}Ab@gAX_Ch@sDf@{BTaFp@kDb@qEf@u@H_@B_AJuF^mKhAsJpAyGt@iGv@eM`BKBoIhAsGx@cG~@}SpCsCZK@MByAP{Ft@mG~@cEj@aBRaD^_Fp@iGv@O@uDh@{RhCs@NeEj@eANk@JsA^c@Pg@P{@f@_An@[Te@^m@h@_@b@Y^_@b@_@h@OTYf@e@|@_@z@Wj@Ut@q@rBa@pA{@tCUp@IV?@GRc@|AoBrGk@nBq@zBg@vAoAvC{@|Aw@pAgAtAw@~@kClCkA~@s@d@s@b@eAf@_A^gDhAaEpA_ElAqDhAmFdBuBr@oC|@{DrAwIhCaHxBaF`BqC|@cGfBuLjD}TfGmCt@WHaAVMB]Ja@Jg@NiBf@sCr@kIpBaQxDkBZkDp@iAPUFUDgBZmOjCkEl@sEr@uFt@eBZcANqAT}IxAyEt@aHdAcG~@mEp@eIpAiEn@wDp@wPjC_P`CwHjAs@HqO|BgEp@sB^qEt@{]pFiBTK@E@C?qBZaHjAyNzBoFt@kLlBgMlBcNvBuDl@uHjAcQjCA@E?YFM@cAPgBVeNvB}ZxEc[zE}a@rGoFz@eX`EkBViBP_BLgCLiBFuA@uC?iBEq@Cw@EiEW{CSgAGiEY_BK{Ii@iEWqACqCCwB?oBFeBFaBJ_CR[DM@A@_CTiEr@sEz@qHlAwEv@mC^{B`@mFx@uAR_El@}CZ_D\eDVyALaBJkCNyDR{GRuDFmFDoF?mCCyHIyIGqOQuHGuGGkDCiHGeEIkBC_AAsIFqCH}AFgCNeDVgAFM@E@S@uAPmBXsBZaC\qCh@}B\uEt@qAL{Dn@qBXkATeANyBTwGf@_Ih@mF`@}RtA}BPwBRuARu@LoAVoAZkA\[JcA\}B`A}@d@iAl@wAz@iAx@gAx@aAx@q@l@m@n@oBtBmExEmE|EwAxAgAfAs@n@y@p@yAfAwBrAqAr@y@b@_Br@y@ZsA`@_AZgAVsBX{B^yANwB`@mFl@gMfBgALK@C@mCZyIjA{Fz@gGr@iDd@eHbA}Gz@sGr@gHx@_Fh@gFl@gHx@aCXuCb@{B^cCb@C@kAPoGnAqEbAuSfFiB`@uJbCsAZmD|@uBf@kIrBuIrBsEnAqCp@gCj@aCf@{E`AK@G@QDaAPgDh@kFt@}Fr@sIbA}JnAkIbA}Fp@wJlAcEf@wM`B{Dd@yFp@oBVa@DA?SBA@w@H}QxB{APkBRiBLmCHiCByBAoDGyFAmBFsAF_AF_AHeCVm@HkARg@F_@HcC^sATgNxBqB\gQtCiDj@}AR{@HeAH{BJmA@oA?eAAqAGiAGwAMcBUeB[}Cu@qC_AsD}AkD}AqB{@_Bo@cBo@mCy@mDy@uBYqAO_BOgAIyAGyAC{AAmA@uADgBHyAL{ANon@xJsARsAVqBb@kAZsA`@gDlAw@\}@`@iAl@}Az@qBpAo@b@]V{@p@yAnAi@f@w@t@i@f@aFzEkMzLgAdAc@`@cCxBYT_@XWT]Vc@\_@Xq@d@gBjAg@Z_Aj@yBjAgB|@_A^_@P]Ly@Z]LWJa@N]L_@Li@Rc@NkA\i@Na@L_@J]J[Fe@LaDn@sB\{RdDqHpAgYvEoHjAaC^}Dp@_Cb@_Fx@{GfAiBZ{Ch@oDr@kDt@cE~@wOxDuTlFsO`EuOxDmKdCeATkB^wJ~BwPbEiEdAmEdA{A\aBXiBVgBT}ALiBL}AFaBDwA@{A?eBCsBGyBM{BSsBWkBYkB_@qBc@gBg@kA_@wAe@{Am@aBs@iB}@iBaAuFuDcBmA}AoAaAy@_@]aAgAaBsBuAgB_@g@_@k@e@_A_@}@Yy@Qu@SaAU_BkA{J,2025-07-14T14:41:09+00:00
From Maple Leaf Drive to Major MacKenzie,No Report,Good,No,CR - Maple,400,sbxiGrrfdNUb@[h@Wl@Wh@]|@e@vAU|@YrAS`AQjAIv@Kv@Y|CIx@C^eAvK[nDe@pEOtAQzA_@nCQjAO|@]dBYlA}@~Ce@vAq@|AkAbCaAbBiA`BqA|Au@t@m@j@C@yAlAk@b@CBOJUPMHGFmEjDCBa@f@mA|@_J~GcAp@a@VULKHsEfCm@ViBl@i@Ns@Ns@LaC\yZrEkp@rJoARwmArQiGbAaRpCqBZK@SBIBG@cP|BmEp@{X`EmEp@qRrCgCb@mC^cPdCyJvAoZnEmKxAgDb@iEf@eBNqFx@}@NI@YDc@HM@iDh@{HpAsTnDqCb@wFv@KBOBE?MBeXvDsX`EcG`A}MpB}HnAmC^gK|AgIhASDC?K@mZnE_AJgEf@uALqBPcCP}CP{Lj@iFRyDRm@DwKh@mWhAK?K@Q@A?qBJiT~@qERyEToPr@sKf@kNn@mCPcBLoBRaBP{BXaEp@oC`@yARa@HK@G@,2025-07-14T14:41:15+00:00
From Major MacKenzie to Canal Road (Bradford),No Report,Good,No,CR - Maple,400,ozrjGjyodNG@KBsBXmIlAkG`AaNpB_Gz@gJtAwSzCuATuHfAuCb@aI|@eGv@c@F}Dn@mEx@qQlCsAXsh@|HoIlA_BV{JvAiInAgDf@yCb@{Cd@eDd@{Cf@mBVsqArReDh@cYdEiFt@cJvA_IhAq[xEqLdBkJrAeInAA?oUjDuK~A_LbB{u@~KoG~@}KbBkBVqWzD_C^cFr@gTbDaIhAs`@`Gyb@pGcEj@i]fFqO|BsMnByYjEcC`@mDf@aEl@}Cd@kLdByIpAm^nFuQlCwATyARgBXmDl@eAReIhBgYvGe[lHa^jIeN~CyE`A}I|A{B`@aN~BaU~DwB\uEz@wSpDoHpAI@MBWFcTlDgF|@qCf@eB^yCv@eAZuBv@eDxAcAf@wAx@mBnAyAbAiA|@wD|Ck_@|ZaI|GgDxC{@t@_ErD}BnByJfI,2025-07-14T14:41:15+00:00
From Jane Street to Highway 50,No Report,Good,No,CR - Maple,9,mm{kG`obdNl@nIpCtTdB`NNlARPVtBfAdIbAnHhAfIvAjKr@`G`A|GbAvH\bC`BzL|@pGvAfK`CnQlAxI|AdL`@lCXpBZdBV|@Vv@h@|AnClGxArDt@rBj@fBb@bB^~A\bBp@vDTrB@B\zCf@`FVjCHz@PnBZxCNzAD^JhADr@DbAFfB?`CCzAKrBEbCInC?d@Bh@@x@B~@Dj@JnAHdAJ~@RjAf@zC^jBF^@DLt@rB|Kf@rCp@zDf@rCh@xD`AlHjClR^`Cl@xEl@bETtBd@nE~@hJd@fEp@xEfBxKxCxQ`BdKv@`F`BtJl@vD\tBPlAp@hElA`JdBbMDTL`ApAbJr@lFNbAXtBRvAx@vFbBjM`BpLn@hFXtBp@rFf@lEh@|Ev@~GNlAZnCdApJXtDEVPdBr@fFHr@BLBNBVHn@zArJV|ARNHd@zCbSVpAFb@Ll@Hn@RrAn@vDHp@j@`ERxAPzAfAnI`@dDj@fE~@lHtBdPn@bFh@|D|A|LnAtJlAnJx@rGd@jDp@rFfAlIpDfYFb@ZbCf@pD`AvHRzANfBRxBLzAHnAFjAHlA@VBX@XB`@D`@Fz@?D@H?HFj@@RDXFp@DZBTFp@BPDTDb@LfANlAT|AFb@LdAL|@J|@Jr@VrBZzB`@|C\fCXnBHl@H\F^VtARjAXxAXvAVxAThBNfAHf@@JJt@~A|Lf@nD~@hHXlBJ`ATdB^nCZxBT`BRtAF^NnApBxN|AfLhBxMr@`Ff@rDf@pDf@xDZtB~ChUtAxJxBzO\~B^vCZxBf@~CR~AZxBRrAbBpMz@xGnCxRf@pD~AdLhC`RNnA\fC`BpLfDvUl@|ETrALhA`@~Cj@~Dn@bFlCvSjD`XXpB?BBNz@|GNhABN`BdMtBhPjBbOp@fF~ApLh@`Et@pFj@nE\`CZdCn@xEdAfIfB~MZ|Bn@zEx@nG`@vCfE`\dAhIBLlAdJxB|PPnALdAh@hE|A|LzA~LJj@JhAX`CN~@L|@BXv@vFNnA`@bDTxAj@~Dj@tD\tB`@hCd@pCdA`HdBbMxAzKjBdN|C|UvDhYxD|YtApKtAzJbBhMpAjJCPFp@@HNdAHHJz@n@lHRzCZhDXlDTrBVfBRfAXdBLr@r@jDDNp@lDpAvGbAjFd@lCJr@VvA\xBZjCb@fDbAlIz@tH`@lCXxCv@tGvA|KhC~QnE|[n@|E|AtLbAnIf@xDb@hDfE|ZxArKxBdPdBdNf@hDjBfNnAhKhBhNt@~F`Ghc@zBvP,2025-07-14T14:41:15+00:00
From Harmony Road to Morningside (Scarborough),No Report,Good,No,CR - Brock Rd,401,wuzjGvjc`NjAzUpCtUrLvz@Hf@Fj@Lv@jE~ZhCrQtAxJvCnShDjVHd@Hh@xEt]FZHj@rDrR`FtUNv@HZNp@~@fFhD|OrB`KjClQ`QflAxIlm@F\?Bj@zD|G|e@xG`e@VhCl@dHZpHNlF?vGGrEs@zZ}@he@?HAPw@l_@A\kCrkAChGL~Jp@hMfClTnZlzB~VpjBhIts@bCzTPlA@DjGja@nD|Ud@nCF^lGn_@vDjYfAtIlDv[vAzL?JBPBNFb@TvB|Ep`@`BvNVxCrAnLVdBLjAz@dF~@xDdAnD`Nx_@d@xAnBhFH^bA~BxM~^jC`HFNNb@|DpKnSjk@tXpv@FN@@`_@jdAhHtS~DhKdBdEhA`Ct@tArErH~O|V~D`H~ApCLTbGlKtRr]bOvYxHnNl@lAfDdH~GpOfJpQ`^fl@fEnHJRJNl@fApBzExA~Ev@pDn@dE@H@Fb@dFFzDBhBG|Gm@hHw@rFcFhS}L~g@EZIt@EVi@dE_@lGOpECxFHhFPbEp@|HhB|U`BlUzCd`@JfAjD~b@~A`TBT,2025-07-14T14:41:22+00:00
From Boundary Road to Harmony Road,No Report,Good,No,CR - Newtonville,401,{_ekGpcy}MnKjv@`Fh_@j[`_CtEr\Hp@jGxd@pY`vBvA~JvE`]~CxWnL~`AhJvu@j\lmCFt@nQnxArDlZvUfmBRfBhDnXdKrz@zBnUjB`Y?D@@?N@NFzAhClx@|Bpu@APvBjs@hExxA|AxZz@nJHp@NfBl@hG|DxYX`B|DhTvBtJfItYBNxEnNhIdTlYju@~CfKbBtHzBpOdInlAz@zNvZrxEtArSDr@fAjQxPthCJbCLpE@nCAtDCjBKpDKnBMfBShCMpAe@vDW|AUzAS`AYvA_@dB_@xAk@rBk@hBo@lBm@~Aq@~Aw@dBkAzBmCtEyPvXMZsFhM}DdL_GdXuDfXKhAq@rLc@fQ@vNDxC,2025-07-14T14:41:28+00:00
From Highway 401 to Junction highway 35/115,No Report,Good,No,CR - Newtonville,35,ex}jG`p{~MSSeQkR_HuHyAaBqBwBmF{FqP{QwOgQkn@sq@o@s@_MkNwD{CoF{C}CuAcCo@uDs@gCYcFKcFRqGfAiBn@[Jc@LcF~AYJe@NumA`a@_Nx@a@D]BaAHeAXiAZsu@lW_HtAcHZkEOeT}BgCa@A?a@Gw@KcAK_@Ce@A]AY@[?w@Bo@B[Bc@DoEn@}Fx@iIlAo@JeATc@L{@Vwj@|R{Cr@gDVm@B]@}@?q@Ai@C{@Go@G[E]G[E[IaBg@}Bs@wAs@uAw@}@k@iB}AiCuBiHiGq@m@IGuCeCcCyBoHiGwBkB_Aw@oHmGOMe@]UOWOSMSK[OSKk@SSIQEUGi@MMEOASCME_@CSCc@CUAMAaA?Q@S?O@WBk@DOBMBSDQD_@FODMDi@NQFe@NmA`@iFbB_OxEoMbEeKzCsEpAoBj@aBj@]JwCt@aBf@sBj@u@PgAPaCTuADe@@k@BQ@S?UBY?M@QBQ@QBM@MB_@FSBQDMDSDG@WFIBOFSFkm@`SUFQDSDi@Ls@JSBU@QBY@W?U@}@?g@CSCo@GUEUCSESGUEUIk@QWKME?AUIuBaAoBy@a@SOGSE]MgAQoCS}DDyATweAf^yGdBuI~AcAPeGhByBdA}QvMmFpDgA\wDr@_DE{ACe@EcASYKgA]g@e@uAs@}EiEGGi@l@w@`AGNwChDw@z@mE~E}BbBuAn@qA\yBT_G[ek@gC,2025-07-14T14:41:28+00:00
From Highway 12 - Brooklin to Reesor Road - Markham,No Report,Good,No,CR - Manchester,7,isgkGti}`NdBdMpCvQnFl^`Nvz@V`BvF~]xEf]~I|m@tAnKdDxUbH|d@rEtZGP\`CRxAPJZtC|B|MfHje@fB|KlBvKTzBhAzH^~AjCjRlDpVrAjKvA`Jh@fEz@tFj@`DtCtSJ`C@`CK|BW|BeIvh@W|B_@vFKnF?tBNjFZnEz@nFh@|BA^f@dBh@|ATLnArD`AxBfBrC~@hAbAbAxMjKpAfAbFjEdBnCjA~B\~@pAvEtAhIlHje@nA`IXzB`@fCPbB^dB|@bG|@`FRrBb@rBf@fD^tAb@nAzArC~AdBxFrElAhAs@nByAdEi@nBKf@KnACnAFhCpDvWVjCf@zCh@tDv@`Ft@fFlAhHjDrTlAfI|ClTdEp]bArHbB~NPlBjAbIRpBl@|Ex@zENhBvAbK~Jxr@|Fz_@rDdXTnBjD~V`H|d@|@jGzJds@`Ilj@RxAnB`NfAjHrArJZjAhB`Fd@bBJh@d@nAr@hBNJ`@pAzBnFhAhCp@bA~@`AjAv@nAj@dARhBLjPa@nAKfGSbD@jAPhAXbAd@hBtA^d@`@b@PTd@bAZr@Rj@VdAlMty@lAtHLl@Np@Nb@Tl@\v@t@~Ap@xA`@dAx@tC@J,2025-07-14T14:41:34+00:00
From Nesbitt Line- Blackstock to Manchester,No Report,Good,No,CR - Manchester,7A,m|nlGfjq_NjHfV|D|RrS`uAtIll@jHzb@hH`d@|VvgBzHhh@fd@zyCj@tCtAzDpBhD`E`DrB|@rBVdu@iApCXpB|@pBfB~BrDpAzExf@rfDxExZpWriB?H@H~F`a@j@hIG|H{@vHcEbUsEtVi@jFWxJ`@fGzBlOz@rHL~GuAfX\zK~ChUxGfh@vOfnANzACTj@zEPNt@dFThBz@lHjArJ|@dIZ`CbAvHt@vGv@lGx@hGt@hGnClT|CvV|dAxrAj\|b@zErFxAxBhGjIJP`@lA,2025-07-14T14:41:34+00:00
From North Junction Highway 12 to Columbus Rd,No Report,Good,No,CR - Manchester,7,m`imGz~raNhG}Bvu@kVjJcDbgAy^vCk@`A[jCClJ^f^fAfBNbB\|An@nD~BnCtB|DdCpAf@rAZnALfDBbAAjQCpEUlEw@dBa@tQiFxDkAtAq@nA{@fAiA`AoAv@wAp@}A|@gDtJec@bA}DbB}Dj@}@|@kAhAkAvAeAfAk@vAi@rA]hKgAl@I~Fo@jCm@zAg@~As@zA}@~AgAxAoA`J_J|AoA~AcA`Bs@fZyJjNgEtEoA~SiGpp@eTvAi@dCoAlE{BjD{Apx@kXtA_@dEw@jF{@|FqAjEqAvm@mSjD{A~DqBvCqAlDqAj]mKvL_EtS}HfKuDj~@sXlBu@~AqAh@w@j@a@vTaHzn@{RlDaAl[kJ~i@qPtD_AzFuA|FeB`f@}OjOgFxD}ApX_Mfp@iWxkAe`@~_A_[|IsCv@O`BYjHmAvx@oWtHaBbCW||@mX|FiCvFwElCwBlHcDxr@gUvEc@lBCnz@nKpEZ|RWzQa@`NzAnLEjAVtAX`ALbBTv@J`s@}Txu@wUnOeF~]kLzBi@rBIxBBxBP|DlAbs@vVhFd@`F?vHkA~b@yN,2025-07-14T14:41:34+00:00
From Christopher St to North Junction Highway 12,No Report,Good,No,CR - Manchester,7,c|lmGt{baN|@|F^lCn@zDv@zCp@xB~EbLp@hBfArDn@tC\rBjVfeBzCfTtA~HxDlQfAfHv@zGtBrSxBrShBvMnHdi@hGld@jHxj@bFl_@b@lCf@rD~K|y@l@|E,2025-07-14T14:41:34+00:00
From N JCT HWY 7 to Gamebridge,No Report,Good,No,CR - Baldwin,12,m`imGz~raNi@RaE`C{BlAwFxBgJ`DmMtD{SfFeLzCgMbEe}@h[k{@pZgO|FuXjKml@hSk@PcC|@kLtDk|@`ZykAra@ab@vN_B`@_BR_BHaBC_BO_B[{Ag@mLaGmBw@yA{@}W}M_Bi@}A[aBM_BAcBHaBT}Ab@uP|Fi[vKeNrE}DdAub@|JuM`EkOfFw@XaJtCyGjB}\`H_E`A{Ah@mDjAos@jWaMhFoAf@wD`B{B|@}GpC{Al@kZlKwMnE}An@}@\iBp@{EvAyo@|TmWjIci@rP{SjHeEvAmDfAwq@rUcFdBeOdFe~@lZmExAqCnAyCjBiCrBuAjAc@\yDbDcAj@sAvAkObM}BtBYV,2025-07-14T14:41:40+00:00
From Major Mackenzie to Highway 12,No Report,Good,No,CR - Baldwin,48,ob_kGp`ybNkDZoBTqB\m@FeC`@cDf@aDh@yDj@sEx@mEn@kEn@cHhAy@LSBcAP]DuAR}Ch@uDr@_AJcDl@oC`@kFt@eFv@yARkANaOvBmVlD]FwB\aB^kBh@iBj@y@XiBj@y@XqBn@iLzDoFdBcBh@m@R_@JuBp@m@NcARoCb@iAHo@Dm@@cABw@BgDD{BDw@BaB@}BD_A?i@Bq@@U?Y@I@kCH_A@g@BiCP}@J_AH}@FkANgCRoBTaCVq@Fk@FcANu@J]Dk@Js@H}AVeB\eB^mCl@mCn@yAb@sA\o@NkAXSFSDYBe@J{@J}@H}@DuA@}AE}AIs@CE?iAGcAE_CCsAB]Ba@?c@Bk@Bm@Di@Di@HiAJe@He@DyB^kANaBT[FgALiBXcDb@aDh@oARuAR_AJuB\eDf@wCb@_@DgDd@kBXu@LiALs@L]DyB\yCb@eDb@mDf@qDh@wAR_AN[FsEn@kFr@oDf@qDf@{MhBiBTaAPuCd@kDl@iCb@_@FgDl@eDd@mG`A{Dn@eIrAwDn@aFv@m@HuB\A?wEn@gAPsCb@uG~@aEn@oBV_BTsJrAgEn@mBVsATeDf@eBToANkEj@q@JaBZUBe@FoFv@kC`@eALaDd@i@Ju@L[FUFYFq@Pu@Vs@X{@`@k@ZoAr@_Bz@cBbA{Az@eAj@o@Xk@TYJ]J]H}@RuAN_@@sA@o@Cg@Aa@EsASoAUiAQs@Om@KeAK}@K{@C[?]AoA?W@_@Bi@DaEd@gANeBVaGx@_BPwFx@y@L_BR_Eh@iDf@{BXaH`AKMi@?a@HIVyARsB\oBVmIpAoBVyCb@qAPiCb@k@JYBo@HeC`@wC`@kC^cBRuB\gHbAiHdAqATkBTkBXuFx@aALqFx@y@J}Fz@UDsC^kDf@mBZeKxAoBZsBXuAT{AP_ANkC^eEl@aBTuC^iEt@oBTmBRgKvAaGz@eEh@mEt@k@J{Cf@}Cl@iB\aCb@u@JkB\_HfAcCZy@LkEh@cE`@wBViAJ_Eb@iEh@uANsEn@mC\gQ|BeEj@k@JaAJuB^gC`@}B^IQsANeANIRgD^K@eBTmC`@s@LeBXeCd@{B`@QBaAR}@P{GrAaEv@}FjA}@RcLxBcEz@mJhByBd@a@FuAZsB`@}Dt@{Bf@aKlBiDt@iB\_BZgDr@iARsBb@{@PqEz@uDt@iAVaAPqAVeARs@LaATuDt@gB\mAVsDt@qATu@Nk@Ls@NmFdAgF|@oATw@N}Cf@_G~@a@H{Ep@eAPuDf@wFr@yFx@mDd@aBVuGz@cANm@HqLhBgG`AsC^iEr@uGbAeBXwDh@_C`@uAR{Dl@]F}ATiC`@c@FeFv@eBXeBVcDh@cALuCb@cC`@s@La@Dc@HqDh@kDd@eCZoQbCuDd@oHdAuBXsAP[BYFM@{@JUDy@La@Hm@FkC^y@L{En@yBXgFr@gEj@eC^qARsBVkIjAyFx@eC\sAPOBcDb@kAPeEj@yCb@aL~AkAPm@JcALkFt@c@Hy@JiAP}ARcANkNnBaCZiPxBsBXs@JoARaAL_Dd@}IlA]DmAPqAPo@HqBZu@HE@q@JeANw@Ju@Jq@Hs@L_ALA@qC\kDh@uDf@AAuAT_AJg@JmCZcC^qAPq@Hq@JsG~@iBToARsDf@eBR]Hw@Fs@FsAFs@Bm@B{@@M?e@@]AY?s@Ag@?u@CgBI[E{AMuAMsCYoCYiCYq@GaAIgAMw@ISAcAK{@Ku@IiAKcAKaAIg@Gg@EwCWmBOq@GsD_@CAwI_AaAMcBOwBUsAOiNuAqLgAiCWqCYwBUo@GqDa@uD]wFi@_ACy@Ew@Ac@Ak@?_@@q@?u@BK?kABq@Fk@DqAJu@HgBV_@Fi@Ja@Fi@Jq@Nq@PaBf@m@R}@XsA^wC`AeBl@u@T]L}@Zy@VQDe@PgA\KDaAXs@TgSxGkA^_Bj@MBi@TYFUHw@Vs@VaIhCuHdCqDjAwL|DyCbAG@aAZsBp@o@TcCv@iH~BcA\C@eCv@_Ct@ODCBoDhAiGpB{A`@oC~@wCx@}A\m@NYFEDq@Bo@L[Dc@BUDyBR{AHe@@}@D}CFkFNgHL{@B]BI?s]t@_BFaDFmDH]BoIPcB@wEPcKPM?C@uIPcCJG?}ABgAFoAL}@Fe@FA?i@L_B\q@P_ErA_@Nm@TkAd@oBr@e@PaDlAu@VeAb@q@Vo@TwAh@gA^s@Ns@Li@Dk@@eAGIAGIu@Ui@MSIC@A?m@[e@]}@{@Y]W]QY]o@a@w@Ww@S}@Qs@UsAOeAeCwQiAeIiHmh@kByMgB_MeCqQcCcQWoBgB_MoBsNBIO{AYiBGAsCcS_AqG}@uGcBwLwA_KYoBcAqH]cCg@yD_BuKoCwRk@wDQsA{@oGm@iEiD}UuA}JUyAa@cDo@oEeA{H[mBSwAQqAAOSsAG]k@{DMcAQgAMy@]eCY{BSiAu@sFg@iDKw@QiAGc@O_As@eFs@_FUyAe@_DE]Ia@AOkA}Ho@uEYmBEYE[[wBU_BEc@Ow@Ge@Ks@k@eEO{@Ko@iBoMCSmAgIo@eEMaASmAcAcHiAeI{@iGu@}E_AkGAQ{D_XO{@kCaRiAwH_BaL?ACMOeAs@gFMw@iCaQuAoJw@qFSoAUaBgBaM_BwKk@}DKq@Ge@WeBoAaJ{@}F[aCQiAK_AWiBQkAYwBOgAiBmMIm@AMCWW_BAEAOKe@eBqL]}BAGAEKs@wAgKSsAoHwg@{@{FYqBK{@OaAIm@Kq@Ig@YyBcAcHU{AAI[sBYqBoBcNg@cDGc@O_A[}BIi@O}@c@}CQgAm@cEQiAWiBmBoMq@mEBIKw@ECGe@Ce@@IM{@CCgBeLiAeFaBwEw@cB}@{AgCiDiAgAmAaAqAu@sAo@sAg@wAa@sDe@}Mq@uZ}A_PcAqDi@wA[oDoAgD}AaDuBaFoEgAoAeCiD{B{DaDqH}@uCeAuDe@qB}@mFmSq{AGe@iNcdAwDiZ{C_VsIyn@yR}zAO_CE}BFyBNsBXoBhB_Jf@kC,2025-07-14T14:41:40+00:00
